El Calafate;Gdor. Gregores;El Calafate -> Corpen -> Gdor. Gregores;436
Pico Truncado;Pico Truncado;Pico Truncado;0
Gendarme Barreto;Pico Truncado;Gendarme Barreto -> Pto. San Julian -> Pico Truncado;640
El Calafate;Gdor. Gregores;El Calafate -> Corpen -> Gdor. Gregores;436
El Calafate;Gdor. Gregores;El Calafate -> Corpen -> Gdor. Gregores;436
